Latitude,Longitude,normalized_km,normalized_corr,normalized_wind_capacity_factor,Mean Correlation,min_distance_to_line_km,avg_capacity_factor,normalized_solar_radiation,avg_solar_radiation
-10.75,142.5,0.155021216407355,0.8857722275151815,0.8483591635290064,0.0563961921126714,597.4,0.5500482,0.19147634733913288,475.25894
-11.0,142.25,0.1669024045261669,0.8782574131979479,0.4924753453473589,0.060104789424111,589.0,0.32923928,0.18032495276913285,478.09567
-11.0,142.5,0.1879773691654879,0.8889239751452566,0.5624490446293191,0.0548407893716579,574.1,0.37265462,0.2011312214793235,472.8029
-11.25,131.25,0.8205091937765205,0.9634404333664476,0.22155002152284842,0.0180665558442429,126.9,0.16114305,0.08281482799410333,502.90063
-11.25,142.25,0.1985855728429986,0.8918622404600225,0.35407207847362154,0.0533907411886113,566.6,0.24336666,0.22310018384452168,467.21436
-11.25,142.5,0.22050919377652045,0.8934276384009514,0.3675292620659347,0.0526182097127838,551.1,0.2517162,0.23473443219159362,464.2548
-11.25,142.75,0.24101838755304095,0.903685048382016,0.6484535823966421,0.0475561281400067,536.6,0.42601633,0.25832079550149945,458.25482
-11.5,130.25,0.847949080622348,0.9802598484160806,0.12661868255063272,0.009766092945245,107.5,0.102242686,0.15783704937070786,483.81622
-11.5,130.5,0.8585572842998586,0.9808538276460156,0.09639655081151112,0.0094729613145491,100.0,0.083491296,0.17779939518859378,478.73813
-11.5,130.75,0.8652050919377652,0.9761261090950107,0.11008296074194988,0.0118061133482981,95.3,0.09198306,0.1923277392713827,475.04236
-11.5,131.0,0.8664780763790665,0.9664133676422452,0.11161787335058503,0.0165993983607872,94.4,0.0929354,0.14649539083579466,486.70135
-11.5,131.25,0.8564356435643564,0.9752038799395337,0.12808542553109428,0.012261237909219,101.5,0.10315273,0.09289429739979516,500.33658
-11.5,132.5,0.7514851485148515,0.9505344077167746,0.22397646122208834,0.0244357420949243,175.7,0.16264854,0.12977857873840304,490.95383
-11.5,132.75,0.7258840169731259,0.9452370478544186,0.28904823623642456,0.0270500148785123,193.8,0.20302247,0.15411204259648514,484.7638
-11.5,133.0,0.698019801980198,0.9490218842534669,0.3656389151821643,0.0251821797596113,213.5,0.25054333,0.14731175690177623,486.49368
-11.5,142.25,0.22956152758132953,0.892710890397131,0.31543115238090624,0.052971928328805,544.7,0.21939181,0.27229847478666347,454.69913
-11.5,142.5,0.2524752475247525,0.8963453735972193,0.3255648409579011,0.0511782932427844,528.5,0.22567928,0.28346067980921563,451.85965
-11.5,142.75,0.2738330975954739,0.9093671090124499,0.5842063671934844,0.0447520036616229,513.4,0.386154,0.2880464737817239,450.6931
-11.75,130.25,0.8823196605374823,0.9964495909886504,0.11836524177262166,0.0017763764675085,83.2,0.09712182,0.14899496401947254,486.0655
-11.75,130.5,0.8963224893917964,0.994856079809546,0.1019261043487017,0.0025627819627212,73.3,0.08692212,0.17545608218271136,479.33423
-11.75,130.75,0.9026874115983027,0.9793912766989723,0.11471772505198796,0.0101947373000993,68.8,0.09485871,0.18368983388579974,477.2397
-11.75,131.0,0.9043847241867043,0.9720866282920634,0.13137798182449048,0.013799616715516,67.6,0.105195604,0.1408720292827249,488.13184
-11.75,132.75,0.752899575671853,0.9374865237479336,0.1641142247943001,0.0308749361141097,174.7,0.12550688,0.15818188315174464,483.7285
-11.75,133.0,0.7234794908062234,0.9364054000266655,0.16870311933845442,0.0314084759138668,195.5,0.12835407,0.15337437662508124,484.95145
-11.75,133.25,0.6925035360678925,0.9494072198677596,0.2980763603050576,0.0249920147651296,217.4,0.20862399,0.1326284105847617,490.22888
-11.75,142.25,0.2601131541725601,0.8974413873065552,0.2769473858409432,0.0506374051617014,523.1,0.19551447,0.3095694165299995,445.21802
-11.75,142.5,0.2837340876944837,0.8969820670988837,0.3060463691242051,0.0508640819118313,506.4,0.213569,0.31589380644800646,443.6092
-11.75,142.75,0.30608203677510604,0.9086024482320801,0.534853174570262,0.045129367465242,490.6,0.3555327,0.3192626186383287,442.75223
-12.0,132.75,0.7782178217821782,0.9305015083699509,0.13241309772193238,0.0343220750795721,156.8,0.105837844,0.16090768962428093,483.0351
-12.0,133.0,0.7465346534653465,0.9247653492797375,0.11881775039769298,0.0371528974102277,179.2,0.09740258,0.1614138546681284,482.90634
-12.0,133.25,0.7131541725601132,0.946416913237944,0.14929473494287945,0.0264677455895469,202.8,0.116312094,0.14937179674006273,485.96964
-12.0,133.5,0.6783592644978784,0.9674818771880923,0.17029856843361788,0.0160720837177775,227.4,0.12934397,0.13509637793625162,489.60107
-12.0,133.75,0.6427157001414427,0.978387718223108,0.1991639640440218,0.0106899982750681,252.6,0.14725357,0.14329380651876578,487.51578
-12.0,134.0,0.6063649222065064,0.9776141069925715,0.2968193256421716,0.0110717791692531,278.3,0.20784406,0.1620575286684358,482.7426
-12.0,135.75,0.43097595473833095,0.99253835591991,0.46599630577219164,-0.0037065899429199,402.3,0.3128103,0.25565057441044803,458.93408
-12.0,136.5,0.34186704384724187,0.959943033285562,0.39847781552612016,-0.0197925397461014,465.3,0.2709183,0.2870765992895056,450.93982
-12.0,142.0,0.263932107496464,0.892902065100336,0.2656267727491982,0.0528775826856006,520.4,0.18849057,0.3191913482729595,442.77036
-12.0,142.25,0.2898161244695898,0.8947142045760051,0.2614405844490256,0.051983283065714,502.1,0.18589324,0.33507587345606593,438.7296
-12.0,142.5,0.31442715700141444,0.8953763841325558,0.2653627395430464,0.0516564942430704,484.7,0.18832675,0.33676124266427265,438.30087
-12.0,142.75,0.33776520509193775,0.9044516266404317,0.3600325692744432,0.0471778180516724,468.2,0.24706486,0.3168254709042958,443.3722
-12.0,143.0,0.3596888260254597,0.9226240873459232,0.6322007123249072,0.0382096205594106,452.7,0.4159322,0.2807665971010769,452.54498
-12.25,131.25,0.947949080622348,0.9546911786036706,0.17123080776196767,0.0223843555024359,36.8,0.12992238,0.08138576478821757,503.26416
-12.25,132.25,0.8625176803394625,0.9215534825015779,0.20949454125771239,0.0387379692423911,97.2,0.1536632,0.09302661733903039,500.30292
-12.25,132.5,0.8328147100424328,0.9297745594465888,0.12783531765091702,0.0346808278988603,118.2,0.10299755,0.12085822571069182,493.22302
-12.25,132.75,0.8002828854314004,0.9316122941527157,0.09802006653011446,0.0337738969086092,141.2,0.08449861,0.15354942733494858,484.90692
-12.25,133.0,0.7656294200848657,0.9318815937190825,0.11727439233673066,0.0336409962665389,165.7,0.096445,0.16993834857875778,480.73785
-12.25,133.25,0.7298444130127298,0.9607721193782148,0.13371709167852142,0.0193833817384161,191.0,0.10664691,0.17415049400033633,479.66635
-12.25,133.5,0.6932107496463932,0.9837189203766527,0.1557718102089859,0.0080590241566477,216.9,0.12033081,0.17596904798398239,479.20374
-12.25,133.75,0.6561527581329561,0.9999159014184557,0.16198150632256056,-6.573545923900036e-05,243.1,0.12418363,0.1849124764140495,476.92868
-12.25,134.0,0.6185289957567186,0.9897918865737522,0.15658450770544535,-0.0050619858852726,269.7,0.12083505,0.20054116732367366,472.953
-12.25,134.25,0.6025459688826025,0.9862445315472685,0.16426994990953875,-0.0068126227950588,281.0,0.1256035,0.21338948845842676,469.6846
-12.25,134.5,0.5837340876944836,0.9901838567145709,0.17487020137578288,-0.0048685467197737,294.3,0.13218045,0.2172396999285684,468.70517
-12.25,134.75,0.5623762376237624,0.9929247111375031,0.1890130783341394,-0.0035159217692645,309.4,0.14095543,0.21890989519246595,468.2803
-12.25,135.0,0.5387553041018387,0.994646528553948,0.2068934225273241,-0.0026661965236555,326.1,0.15204933,0.23630076848951986,463.85635
-12.25,135.25,0.5131541725601132,0.9957546153026176,0.21341761503643286,-0.0021193503391086,344.2,0.15609728,0.2588429993258602,458.12198
-12.25,135.5,0.4858557284299858,0.9947657448485506,0.2137342389123242,-0.0026073627040854,363.5,0.15629373,0.2736159741222137,454.36398
-12.25,135.75,0.4571428571428571,0.9846883826164394,0.22812314608017337,-0.0075805898395455,383.8,0.16522136,0.309981982710116,445.11307
-12.25,136.0,0.4272984441301273,0.9638985866982062,0.2577985798365902,-0.0178404549530352,404.9,0.18363355,0.35225124529534013,434.36047
-12.25,136.5,0.36463932107496466,0.9569217328038684,0.19636067021059553,-0.0212835661867367,449.2,0.14551426,0.33944655907816,437.61777
-12.25,136.75,0.3321074964639321,0.9369068840018587,0.26397310805516894,-0.031160991139976,472.2,0.18746455,0.2810835202591615,452.46436
-12.25,141.75,0.26435643564356437,0.8848502698680986,0.2479504249111755,0.0568511826828831,520.1,0.17752324,0.2608607408116166,457.6087
-12.25,142.0,0.2917963224893918,0.8927632622158056,0.21127148699153261,0.0529460825822925,500.7,0.15476571,0.32620658507513645,440.9858
-12.25,142.25,0.3186704384724187,0.8956037340223924,0.2223794809857587,0.0515442959698183,481.7,0.16165769,0.3472187241126514,435.64066
-12.25,142.5,0.34441301272984437,0.8984040582632418,0.23803214372034956,0.050162322375746,463.5,0.17136942,0.3449918101977003,436.20715
-12.25,142.75,0.36888260254596894,0.908669366842081,0.29785223347287915,0.0450963428066599,446.2,0.20848493,0.318340113583656,442.9869
-12.25,143.0,0.3916548797736916,0.9203427379161947,0.4851169871309131,0.0393354775672335,430.1,0.32467377,0.28245114078381595,452.11646
-12.5,130.75,0.9920792079207921,0.9901068293201357,0.11558703609013517,-0.0049065601125004,5.6,0.095398076,0.11977313144963886,493.49905
-12.5,131.0,0.9971711456859972,0.9809215725509544,0.08325506274002431,-0.0094395288754077,2.0,0.07533763,0.10255404607131846,497.8793
-12.5,131.25,0.984016973125884,0.993741544820203,0.08104138719378222,-0.0031128103853136,11.3,0.07396415,0.08502067135426239,502.3395
-12.5,131.5,0.9667609618104668,0.9858072324200257,0.09027213764916535,0.0070284320351978,23.5,0.07969139,0.07160572526284426,505.75204
-12.5,131.75,0.9448373408769448,0.9744388639507341,0.09972533874008183,0.012638777009921,39.0,0.08555665,0.06671169580502945,506.997
-12.5,132.0,0.9172560113154172,0.9690001694628287,0.1066591131228723,0.0153227991166724,58.5,0.089858726,0.0717905643461133,505.70502
-12.5,132.25,0.886987270155587,0.9643145645117831,0.10497168112508228,0.017635167884596,79.9,0.088811755,0.08566379500425791,502.1759
-12.5,132.5,0.8528995756718529,0.9684499337678238,0.0910719832301941,0.0155943431007298,104.0,0.080187656,0.10962762000653892,496.0799
-12.5,132.75,0.8168316831683169,0.960550325383797,0.09293143329695848,0.0194928381503337,129.5,0.081341356,0.1349305652494739,489.64325
-12.5,133.0,0.7796322489391796,0.9777388168816025,0.12043173435960493,0.0110102342341893,155.8,0.09840398,0.15705138498997362,484.01608
-12.5,133.25,0.7420084865629419,0.9996400514815218,0.15645523909783085,0.0002018687409526,182.4,0.120754845,0.1683169772496581,481.1503
-12.5,133.5,0.7039603960396039,0.9918734198989437,0.19993622329641858,-0.0040347390941211,209.3,0.14773272,0.1763070023861224,479.11777
-12.5,133.75,0.6673267326732674,0.9823043405420068,0.20286782675957107,-0.0087571261655761,235.2,0.14955164,0.1879677854803673,476.15146
-12.5,134.0,0.6537482319660537,0.9729761947958687,0.17365768262764428,-0.0133606113316047,244.8,0.13142814,0.20277252335185514,472.38538
-12.5,134.25,0.6366336633663366,0.9721785890694153,0.1523917757914468,-0.0137542336258948,256.9,0.11823366,0.2138259162556304,469.57358
-12.5,134.5,0.6162659123055163,0.9821766324209078,0.14788760170560872,-0.0088201507427064,271.3,0.115439035,0.22113154146871916,467.71515
-12.5,134.75,0.5932107496463932,0.9869933405684547,0.14234690951936604,-0.0064430819114758,287.6,0.1120013,0.22607140724535402,466.45853
-12.5,135.0,0.5678925035360679,0.9896506923429319,0.1406564394151568,-0.0051316659229563,305.5,0.110952444,0.23673802181219117,463.74512
-12.5,135.25,0.5407355021216407,0.9959775102065993,0.1521006172107404,-0.0020093506229819,324.7,0.11805301,0.2591460064832054,458.0449
-12.5,135.5,0.512022630834512,0.9909207475187987,0.1569385623418035,-0.0045048875340615,345.0,0.121054724,0.28545597486440055,451.35208
-12.5,135.75,0.48189533239038185,0.9772819636395897,0.15203042647622741,-0.0112356935248022,366.3,0.11800946,0.31417026651460744,444.04764
-12.5,136.0,0.45077793493635077,0.9622338219544804,0.15734714494440832,-0.0186620244279592,388.3,0.12130823,0.35056705540923006,434.7889
-12.5,136.25,0.4186704384724187,0.9586064908241364,0.1527971010926865,-0.0204521299328743,411.0,0.118485145,0.36459642831296046,431.22006
-12.5,136.5,0.3857142857142857,0.9503792211335079,0.1630556647080126,-0.0245123274264014,434.3,0.124850094,0.3334893707502883,439.13318
-12.5,136.75,0.35219236209335214,0.9251996483821104,0.2565358718927516,-0.0369385686969118,458.0,0.1828501,0.2694444760022302,455.42514
-12.5,141.75,0.2923620933521923,0.8844614958366309,0.2689275262888799,0.0570430445529165,500.3,0.19053853,0.2569568701860808,458.60178
-12.5,142.0,0.3190947666195191,0.8938756481739839,0.20472531051873252,0.0523971147170024,481.4,0.15070412,0.32251782280001506,441.92416
-12.5,142.25,0.34667609618104667,0.9002123237854452,0.19095983568192712,0.0492699345706829,461.9,0.1421633,0.3414603301795246,437.1055
-12.5,142.5,0.3734087694483734,0.9074442882661021,0.21433555834147316,0.0457009250253793,443.0,0.15666682,0.33834684122310954,437.89752
-12.5,142.75,0.39900990099009903,0.9159423913575383,0.23936675082989703,0.0415070699350464,424.9,0.17219748,0.3206376688921916,442.40244
-12.5,143.0,0.42305516265912313,0.9235087851343896,0.314612475375261,0.0377730179101317,407.9,0.21888386,0.29296566211093233,449.44174
-12.5,143.25,0.44540311173974534,0.9343126567074115,0.5560805933527243,0.0324412548914551,392.1,0.3687033,0.26498443707595254,456.5597
-12.75,130.5,0.9916548797736916,0.9753116449724347,0.10921167050237944,-0.0122080553428358,5.9,0.091442466,0.12654236166247157,491.77707
-12.75,130.75,0.9977369165487977,0.9477005263975061,0.08111558468296794,-0.0258342762699439,1.6,0.074010186,0.14557414372469157,486.9357
-12.75,131.0,0.9947666195190947,0.9526216897701661,0.08024495847514536,-0.0234056582785255,3.7,0.073470004,0.13932137796868305,488.5263
-12.75,131.25,0.9823196605374823,0.9600589205977649,0.07662776801996735,-0.0197353487954907,12.5,0.07122571,0.11737694550309341,494.1086
-12.75,131.5,0.9987270155586987,0.9760204343610382,0.07888349353781549,-0.0118582643420224,0.9,0.07262528,0.09838459210963557,498.93994
