Longitude,Latitude,avg_wind_speed
142.5,-10.75,8.490595
142.25,-11.0,6.756381
142.5,-11.0,7.062783
131.25,-11.25,5.011889
142.25,-11.25,6.0210824
142.5,-11.25,6.1359043
142.75,-11.25,7.428057
130.25,-11.5,4.0622807
130.5,-11.5,3.912877
130.75,-11.5,4.104929
131.0,-11.5,4.1800084
131.25,-11.5,4.3569193
132.5,-11.5,5.169821
132.75,-11.5,5.564651
133.0,-11.5,5.9913893
142.25,-11.5,5.771644
142.5,-11.5,5.870672
142.75,-11.5,7.115965
130.25,-11.75,3.949643
130.5,-11.75,3.9287534
130.75,-11.75,4.1169353
131.0,-11.75,4.2910037
132.75,-11.75,4.7624917
133.0,-11.75,4.8403683
133.25,-11.75,5.6488943
142.25,-11.75,5.526329
142.5,-11.75,5.7617574
142.75,-11.75,6.875057
132.75,-12.0,4.4704986
133.0,-12.0,4.3965626
133.25,-12.0,4.659848
133.5,-12.0,4.8166485
133.75,-12.0,5.0358114
134.0,-12.0,5.6550713
135.75,-12.0,6.629833
136.5,-12.0,6.26864
142.0,-12.0,5.3814354
142.25,-12.0,5.4344616
142.5,-12.0,5.52575
142.75,-12.0,6.049668
143.0,-12.0,7.331939
131.25,-12.25,4.5645924
132.25,-12.25,4.9922
132.5,-12.25,4.387302
132.75,-12.25,4.134607
133.0,-12.25,4.3385253
133.25,-12.25,4.472677
133.5,-12.25,4.6616764
133.75,-12.25,4.7197495
134.0,-12.25,4.682615
134.25,-12.25,4.770885
134.5,-12.25,4.8977804
134.75,-12.25,5.010746
135.0,-12.25,5.106927
135.25,-12.25,5.162987
135.5,-12.25,5.2016134
135.75,-12.25,5.305638
136.0,-12.25,5.473581
136.5,-12.25,5.0813727
136.75,-12.25,5.4762697
141.75,-12.25,5.1803923
142.0,-12.25,5.050346
142.25,-12.25,5.19744
142.5,-12.25,5.357424
142.75,-12.25,5.717405
143.0,-12.25,6.633251
130.75,-12.5,3.973375
131.0,-12.5,3.7538428
131.25,-12.5,3.8060951
131.5,-12.5,3.9570627
131.75,-12.5,4.0913725
132.0,-12.5,4.1830115
132.25,-12.5,4.1726303
132.5,-12.5,4.0139413
132.75,-12.5,4.0667434
133.0,-12.5,4.330519
133.25,-12.5,4.6308866
133.5,-12.5,5.0009503
133.75,-12.5,5.031909
134.0,-12.5,4.786372
134.25,-12.5,4.614485
134.5,-12.5,4.624529
134.75,-12.5,4.615017
135.0,-12.5,4.603861
135.25,-12.5,4.7231617
135.5,-12.5,4.797483
135.75,-12.5,4.763609
136.0,-12.5,4.774699
136.25,-12.5,4.7264857
136.5,-12.5,4.8139396
136.75,-12.5,5.4166536
141.75,-12.5,5.260236
142.0,-12.5,4.9613442
142.25,-12.5,4.962481
142.5,-12.5,5.1846676
142.75,-12.5,5.375276
143.0,-12.5,5.8041162
143.25,-12.5,6.964224
130.5,-12.75,3.9632897
130.75,-12.75,3.700303
131.0,-12.75,3.7426257
131.25,-12.75,3.741097
131.5,-12.75,3.8014836
131.75,-12.75,3.925544
132.0,-12.75,4.0160084
132.25,-12.75,3.9986665
132.5,-12.75,3.9843693
132.75,-12.75,4.137629
133.0,-12.75,4.4691305
133.25,-12.75,4.917325
133.5,-12.75,5.27738
133.75,-12.75,5.3237553
134.0,-12.75,5.145845
134.25,-12.75,5.0119123
134.5,-12.75,4.9528103
134.75,-12.75,4.726603
135.0,-12.75,4.6262445
135.25,-12.75,4.7977395
135.5,-12.75,4.873694
135.75,-12.75,4.7474146
136.0,-12.75,4.525925
136.25,-12.75,4.5448895
136.5,-12.75,5.129646
142.0,-12.75,5.088572
142.25,-12.75,4.9820986
142.5,-12.75,5.140689
142.75,-12.75,5.399973
143.0,-12.75,5.7326884
143.25,-12.75,6.4981833
130.25,-13.0,4.1782136
130.5,-13.0,3.7593873
130.75,-13.0,3.7861164
131.0,-13.0,3.8660367
131.25,-13.0,3.864722
131.5,-13.0,3.9501543
131.75,-13.0,4.0915446
132.0,-13.0,4.172592
132.25,-13.0,4.0706367
132.5,-13.0,4.0668364
132.75,-13.0,4.222924
133.0,-13.0,4.7513123
133.25,-13.0,5.2407813
133.5,-13.0,5.4660006
133.75,-13.0,5.4445105
134.0,-13.0,5.2029257
134.25,-13.0,5.036935
134.5,-13.0,4.863583
134.75,-13.0,4.670485
135.0,-13.0,4.6568427
135.25,-13.0,4.874538
135.5,-13.0,4.7661934
135.75,-13.0,4.592846
136.0,-13.0,4.531742
136.25,-13.0,4.799219
136.5,-13.0,5.3931484
141.75,-13.0,5.247671
142.0,-13.0,5.019311
142.25,-13.0,5.022748
142.5,-13.0,5.169097
142.75,-13.0,5.4384713
143.0,-13.0,5.561924
143.25,-13.0,5.9986916
130.25,-13.25,4.3674426
130.5,-13.25,3.9569218
130.75,-13.25,4.0321145
131.0,-13.25,4.0783534
131.25,-13.25,4.097026
131.5,-13.25,4.171797
131.75,-13.25,4.3130555
132.0,-13.25,4.30234
132.25,-13.25,4.2663884
132.5,-13.25,4.35339
132.75,-13.25,4.5806985
133.0,-13.25,5.2388425
133.25,-13.25,5.5455856
133.5,-13.25,5.613511
133.75,-13.25,5.2927356
134.0,-13.25,5.0448375
134.25,-13.25,4.8733144
134.5,-13.25,4.7454863
134.75,-13.25,4.787263
135.0,-13.25,4.8445597
135.25,-13.25,4.969832
135.5,-13.25,4.6129956
135.75,-13.25,4.542843
136.0,-13.25,5.256179
141.75,-13.25,5.015861
142.0,-13.25,4.920332
142.25,-13.25,5.084559
142.5,-13.25,5.188689
142.75,-13.25,5.445646
143.0,-13.25,5.547588
143.25,-13.25,5.525913
143.5,-13.25,6.124357
130.0,-13.5,4.5708876
130.25,-13.5,4.3076777
130.5,-13.5,4.1235003
130.75,-13.5,4.2215886
131.0,-13.5,4.33842
