Latitude,Longitude,Mean Correlation,min_distance_to_line_km,avg_capacity_factor,avg_solar_radiation,score_km,score_wind_correlation,score_wind_capacity,score_solar_radiation
-13.5,134.0,0.0238591197772794,150.9,0.12438525,492.2882,46,80,6,39
-13.5,134.25,0.0288708325359039,169.8,0.11485267,490.0486,43,75,5,41
-13.5,134.5,0.0270532215798517,190.7,0.12133068,486.566,39,77,5,45
-13.5,134.75,0.0176270031381309,213.1,0.13314085,482.0689,36,86,7,49
-13.5,135.0,0.0077513343815336,236.5,0.12959981,476.70715,32,94,6,53
-13.5,135.25,-0.0043299590071131,260.7,0.12155718,470.31824,29,97,5,59
-13.5,135.5,-0.0209253134059032,285.4,0.10209835,465.72537,25,82,3,62
-13.5,135.75,-0.0339037288822943,310.6,0.10769401,465.9426,22,70,4,62
-13.5,141.75,0.0560100546594531,426.7,0.14788756,474.4373,11,44,9,55
-13.5,142.0,0.0473971687878171,405.4,0.14096223,459.17398,13,54,8,67
-13.5,142.25,0.0503672396531328,384.8,0.14865628,456.61975,15,51,10,69
-13.5,142.5,0.0494579117346022,364.7,0.15410547,456.22684,16,52,10,70
-13.5,142.75,0.0487031211117504,345.5,0.16916028,451.9757,18,53,13,73
-13.5,143.0,0.0477541399809221,326.6,0.18616576,441.39343,20,54,16,79
-13.5,143.25,0.0427070838260641,307.0,0.18426473,431.3564,22,60,15,84
-13.5,143.5,0.0335973196485567,288.4,0.24696636,430.1696,25,70,26,84
-13.75,130.0,-0.02449921356248,112.7,0.09720353,482.2334,54,79,3,49
-13.75,130.25,-0.0285583861036381,104.3,0.093987405,478.5342,56,75,3,52
-13.75,130.5,-0.029559796893279,87.0,0.10109179,481.71243,60,74,3,49
-13.75,130.75,-0.0308829271883171,68.5,0.10608155,487.2447,65,73,4,44
-13.75,131.0,-0.0287640306167304,48.3,0.10236309,490.81332,71,75,3,41
-13.75,131.25,-0.0246393677215868,27.3,0.10613663,493.43506,79,79,4,38
-13.75,131.5,-0.0202498097513203,13.5,0.117415264,496.45786,87,83,5,34
-13.75,131.75,-0.0085787686297581,0.5,0.12674442,498.2673,100,93,6,31
-13.75,132.0,-0.0039913380651601,15.5,0.12859708,500.5802,86,97,6,28
-13.75,132.25,-0.0024131784460526,42.3,0.13959686,502.24817,73,98,8,26
-13.75,132.5,-0.0022986684327146,66.3,0.15010288,502.39548,66,99,10,26
-13.75,132.75,0.0060065850127665,83.9,0.14138874,503.31027,61,96,8,25
-13.75,133.0,0.0094032029687826,82.9,0.17372453,502.77002,61,93,14,25
-13.75,133.25,0.0137084867149713,89.6,0.17406894,500.80566,60,89,14,28
-13.75,133.5,0.0250901936481352,98.0,0.15216807,496.70062,58,79,10,33
-13.75,133.75,0.0332537644376446,112.5,0.13540447,495.12415,54,71,7,35
-13.75,134.0,0.0391274693909855,131.1,0.12282007,494.32016,50,64,5,37
-13.75,134.25,0.039447639857064,152.4,0.124220446,492.49768,46,64,6,39
-13.75,134.5,0.0396729572698296,175.4,0.13438578,489.12628,42,64,7,42
-13.75,134.75,0.0237227122609814,199.4,0.14404066,484.8001,38,80,9,46
-13.75,135.0,0.0057491579857014,224.2,0.12944302,480.0757,34,96,6,50
