Latitude,Longitude,Mean Correlation
-10.75,142.25,0.062295692116909086
-10.75,142.5,0.056396192112671474
-11.0,130.5,0.00997358761794333
-11.0,131.25,0.014802888663308252
-11.0,142.0,0.06172532832826532
-11.0,142.25,0.06010478942411109
-11.0,142.5,0.05484078937165794
-11.0,142.75,0.050472759209307175
-11.25,130.25,0.0095337189855941
-11.25,130.5,0.013943219629471145
-11.25,130.75,0.01765966467958476
-11.25,131.0,0.020019522098646988
-11.25,131.25,0.018066555844242906
-11.25,131.5,0.01264418804230878
-11.25,132.75,0.022982324709162293
-11.25,133.0,0.024044594219664022
-11.25,141.75,0.059660841817302364
-11.25,142.0,0.05648223450850873
-11.25,142.25,0.053390741188611306
-11.25,142.5,0.05261820971278385
-11.25,142.75,0.047556128140006745
-11.25,143.0,0.0458801828723933
-11.5,130.0,0.003690367998621826
-11.5,130.25,0.00976609294524505
-11.5,130.5,0.009472961314549182
-11.5,130.75,0.01180611334829813
-11.5,131.0,0.016599398360787224
-11.5,131.25,0.012261237909219095
-11.5,131.5,0.012959658184471274
-11.5,131.75,0.011271011262821654
-11.5,132.5,0.02443574209492432
-11.5,132.75,0.027050014878512316
-11.5,133.0,0.02518217975961133
-11.5,133.25,0.024291922618812394
-11.5,133.5,0.023103333772381857
-11.5,133.75,0.021248069671647888
-11.5,141.75,0.05676372339505525
-11.5,142.0,0.0533881699932473
-11.5,142.25,0.052971928328805096
-11.5,142.5,0.05117829324278448
-11.5,142.75,0.044752003661622956
-11.5,143.0,0.041659066968020936
-11.75,130.25,0.0017763764675085743
-11.75,130.5,0.002562781962721298
-11.75,130.75,0.010194737300099361
-11.75,131.0,0.013799616715516008
-11.75,131.25,0.020068940882559956
-11.75,131.5,0.019794184325950308
-11.75,132.25,0.01782620420836749
-11.75,132.5,0.024127263335200648
-11.75,132.75,0.0308749361141097
-11.75,133.0,0.03140847591386687
-11.75,133.25,0.024992014765129647
-11.75,133.5,0.02090122407479655
-11.75,133.75,0.019014265056743862
-11.75,134.0,0.017876593697638738
-11.75,134.25,0.015879349744257826
-11.75,134.5,0.014419161481228435
-11.75,134.75,0.012724009995526146
-11.75,135.5,0.0029380098101682963
-11.75,141.75,0.05867074932681308
-11.75,142.0,0.05168366778996729
-11.75,142.25,0.050637405161701496
-11.75,142.5,0.05086408191183139
-11.75,142.75,0.045129367465242036
-11.75,143.0,0.037415226451343014
-12.0,130.5,-0.002442203305101776
-12.0,131.0,0.01593809034176437
-12.0,131.25,0.02236739310568997
-12.0,131.5,0.03177423871668344
-12.0,131.75,0.03311931860579145
-12.0,132.0,0.03248784871372793
-12.0,132.25,0.029260172841687953
-12.0,132.5,0.02901339976815507
-12.0,132.75,0.03432207507957216
-12.0,133.0,0.037152897410227786
-12.0,133.25,0.026467745589546947
-12.0,133.5,0.016072083717777526
-12.0,133.75,0.01068999827506819
-12.0,134.0,0.011071779169253119
-12.0,134.25,0.011286116126991276
-12.0,134.5,0.011228442101162814
-12.0,134.75,0.010435228413968746
-12.0,135.0,0.009751826030246559
-12.0,135.25,0.008325969175036465
-12.0,135.5,0.004290457453212834
-12.0,135.75,-0.0037065899429199775
-12.0,136.0,-0.013495399407665467
-12.0,136.25,-0.018376469422253735
-12.0,136.5,-0.019792539746101415
-12.0,141.75,0.061269938548849455
-12.0,142.0,0.05287758268560061
-12.0,142.25,0.05198328306571403
-12.0,142.5,0.051656494243070485
-12.0,142.75,0.047177818051672406
-12.0,143.0,0.03820962055941068
-12.0,143.25,0.034064072554576254
-12.25,130.5,-0.007651295610204605
-12.25,130.75,0.0023914087807670945
-12.25,131.0,0.011083792194369294
-12.25,131.25,0.022384355502435938
-12.25,131.5,0.03201903536294897
-12.25,131.75,0.036556756475918176
-12.25,132.0,0.03743530977351059
-12.25,132.25,0.03873796924239113
-12.25,132.5,0.03468082789886033
-12.25,132.75,0.03377389690860928
-12.25,133.0,0.03364099626653894
-12.25,133.25,0.019383381738416142
-12.25,133.5,0.00805902415664778
-12.25,133.75,-6.573545923900036e-05
-12.25,134.0,-0.005061985885272623
-12.25,134.25,-0.006812622795058858
-12.25,134.5,-0.004868546719773717
-12.25,134.75,-0.003515921769264553
-12.25,135.0,-0.0026661965236555608
-12.25,135.25,-0.0021193503391086347
-12.25,135.5,-0.002607362704085452
-12.25,135.75,-0.007580589839545566
-12.25,136.0,-0.01784045495303525
-12.25,136.25,-0.020984094481571534
-12.25,136.5,-0.021283566186736737
-12.25,136.75,-0.03116099113997604
-12.25,141.5,0.05263556139100166
-12.25,141.75,0.056851182682883174
-12.25,142.0,0.05294608258229259
-12.25,142.25,0.05154429596981832
-12.25,142.5,0.050162322375746
-12.25,142.75,0.04509634280665999
-12.25,143.0,0.0393354775672335
-12.25,143.25,0.032669193461714756
-12.5,130.25,-0.012598066599318935
-12.5,130.5,-0.005133674548761476
-12.5,130.75,-0.004906560112500475
-12.5,131.0,-0.009439528875407718
-12.5,131.25,-0.0031128103853136834
-12.5,131.5,0.0070284320351978145
-12.5,131.75,0.012638777009921059
-12.5,132.0,0.015322799116672416
-12.5,132.25,0.017635167884596046
-12.5,132.5,0.015594343100729886
-12.5,132.75,0.01949283815033379
-12.5,133.0,0.01101023423418935
-12.5,133.25,0.00020186874095261807
-12.5,133.5,-0.004034739094121115
-12.5,133.75,-0.008757126165576102
-12.5,134.0,-0.013360611331604776
-12.5,134.25,-0.013754233625894856
-12.5,134.5,-0.008820150742706444
-12.5,134.75,-0.006443081911475886
-12.5,135.0,-0.005131665922956364
-12.5,135.25,-0.0020093506229819642
-12.5,135.5,-0.004504887534061535
-12.5,135.75,-0.011235693524802281
-12.5,136.0,-0.01866202442795925
-12.5,136.25,-0.02045212993287437
-12.5,136.5,-0.024512327426401456
-12.5,136.75,-0.036938568696911846
-12.5,137.0,-0.04013905596941532
-12.5,141.5,0.05237920287819136
-12.5,141.75,0.057043044552916575
-12.5,142.0,0.052397114717002424
-12.5,142.25,0.0492699345706829
-12.5,142.5,0.045700925025379376
-12.5,142.75,0.04150706993504649
-12.5,143.0,0.03777301791013174
-12.5,143.25,0.032441254891455176
-12.5,143.5,0.029051428146305538
-12.75,130.0,-0.015639033474560294
-12.75,130.25,-0.009923811025163602
-12.75,130.5,-0.012208055342835863
-12.75,130.75,-0.025834276269943942
-12.75,131.0,-0.023405658278525584
-12.75,131.25,-0.01973534879549074
-12.75,131.5,-0.011858264342022484
-12.75,131.75,-0.00878748027801824
-12.75,132.0,-0.0024323043468896122
-12.75,132.25,0.003132359412986608
-12.75,132.5,0.0009175223786206472
-12.75,132.75,-0.004159581745486884
-12.75,133.0,-0.012272167089949583
-12.75,133.25,-0.012422790426006984
-12.75,133.5,-0.010977340722456574
-12.75,133.75,-0.009078174266254619
-12.75,134.0,-0.010598798253063467
-12.75,134.25,-0.011853552142011246
-12.75,134.5,-0.008247061692444341
-12.75,134.75,-0.00449830028949128
-12.75,135.0,0.0007101513227791569
-12.75,135.25,0.0001486707767028184
-12.75,135.5,-0.011102267802648601
-12.75,135.75,-0.018257506535848646
-12.75,136.0,-0.02043146164325576
-12.75,136.25,-0.023168809300139922
-12.75,136.5,-0.034585202358929173
-12.75,136.75,-0.04221518198471694
-12.75,141.5,0.051823718358008634
-12.75,141.75,0.05816328531807466
-12.75,142.0,0.05314132128842175
-12.75,142.25,0.04991553847766703
-12.75,142.5,0.04271604393988604
-12.75,142.75,0.03891404586223265
-12.75,143.0,0.036717177339873855
-12.75,143.25,0.03328479207564323
-12.75,143.5,0.026640670454417842
-13.0,130.0,-0.017150539166427083
-13.0,130.25,-0.018548912896464268
-13.0,130.5,-0.03234978066092091
-13.0,130.75,-0.03316549623130067
-13.0,131.0,-0.030494520498350972
-13.0,131.25,-0.026778052637625175
-13.0,131.5,-0.022887450719385274
-13.0,131.75,-0.017525440478874815
-13.0,132.0,-0.013002508841565855
-13.0,132.25,-0.008129980896011971
-13.0,132.5,-0.011857652240377364
-13.0,132.75,-0.01958340597560718
-13.0,133.0,-0.020733902356421044
-13.0,133.25,-0.016043424224924472
-13.0,133.5,-0.0097811382369227
-13.0,133.75,-0.005669436887616203
-13.0,134.0,-0.002671823329070494
-13.0,134.25,-0.0035049662819974835
-13.0,134.5,-0.0040909138835212655
-13.0,134.75,-0.0010966733718911807
-13.0,135.0,0.005064357197400005
-13.0,135.25,-0.0007917065439479691
-13.0,135.5,-0.014464372173894109
-13.0,135.75,-0.025501400779189897
-13.0,136.0,-0.028908536834864034
-13.0,136.25,-0.03294346844084516
-13.0,136.5,-0.04139207905668411
-13.0,136.75,-0.044064823930550896
-13.0,141.25,0.04120109654253437
-13.0,141.5,0.050795058848425036
-13.0,141.75,0.05676729866702642
-13.0,142.0,0.05005553763891969
-13.0,142.25,0.049946270430726664
-13.0,142.5,0.0432658853064779
-13.0,142.75,0.038704418320031395
-13.0,143.0,0.038916213402435895
-13.0,143.25,0.03679176337263059
-13.0,143.5,0.027298513822080123
-13.0,143.75,0.022073584402512225
-13.25,130.0,-0.020938603136511077
-13.25,130.25,-0.022247316164984588
-13.25,130.5,-0.029209819299701067
-13.25,130.75,-0.030238553299568594
-13.25,131.0,-0.03312213055212938
-13.25,131.25,-0.03307210059636938
-13.25,131.5,-0.03410304527330611
-13.25,131.75,-0.03092915832641579
-13.25,132.0,-0.024851451503733794
-13.25,132.25,-0.020425949480739378
-13.25,132.5,-0.021668729765293566
-13.25,132.75,-0.02216856499158201
-13.25,133.0,-0.01815023182314776
-13.25,133.25,-0.012352203648714793
-13.25,133.5,-0.005644275538534636
-13.25,133.75,0.004144614366703623
-13.25,134.0,0.00976933664808582
-13.25,134.25,0.010758796403007139
-13.25,134.5,0.014164936447715652
-13.25,134.75,0.005733659212377721
-13.25,135.0,0.007632639026269317
-13.25,135.25,-0.002849355973289459
-13.25,135.5,-0.02179229249907491
-13.25,135.75,-0.03178759383791614
-13.25,136.0,-0.04362204308424788
-13.25,136.25,-0.04616897763861787
-13.25,136.5,-0.04388064558165968
-13.25,141.25,0.03752446469983884
-13.25,141.5,0.05268798780272759
-13.25,141.75,0.0551354458732974
-13.25,142.0,0.04613578878786592
-13.25,142.25,0.0493241388084633
-13.25,142.5,0.0447330694823038
-13.25,142.75,0.044443005619714746
-13.25,143.0,0.0442637389326202
-13.25,143.25,0.038660814447350624
-13.25,143.5,0.030144746982980343
-13.25,143.75,0.01785832830216913
-13.5,129.75,-0.01679698963139561
-13.5,130.0,-0.02263691196927712
-13.5,130.25,-0.024479194605650956
-13.5,130.5,-0.025424836822120208
-13.5,130.75,-0.02912504797402237
-13.5,131.0,-0.031037699136816498
-13.5,131.25,-0.035980464977079206
-13.5,131.5,-0.03382022944500759
-13.5,131.75,-0.029468989210380686
-13.5,132.0,-0.02053190172383828
-13.5,132.25,-0.017555362886577358
-13.5,132.5,-0.016294228254506986
-13.5,132.75,-0.013806224401508058
-13.5,133.0,-0.008562967447297913
-13.5,133.25,-0.002008144153902928
-13.5,133.5,0.005635530792088026
-13.5,133.75,0.018590801839499838
-13.5,134.0,0.02385911977727942
-13.5,134.25,0.0288708325359039
-13.5,134.5,0.02705322157985176
-13.5,134.75,0.017627003138130974
-13.5,135.0,0.007751334381533698
-13.5,135.25,-0.004329959007113107
-13.5,135.5,-0.020925313405903232
-13.5,135.75,-0.03390372888229433
-13.5,136.0,-0.045264567352188305
-13.5,136.25,-0.048155381393042346
-13.5,141.25,0.03238790889847137
-13.5,141.5,0.050876070224192174
-13.5,141.75,0.056010054659453176
-13.5,142.0,0.04739716878781716
-13.5,142.25,0.050367239653132855
-13.5,142.5,0.04945791173460228
-13.5,142.75,0.04870312111175042
-13.5,143.0,0.04775413998092214
-13.5,143.25,0.042707083826064175
-13.5,143.5,0.033597319648556764
-13.5,143.75,0.0185246808687225
-13.75,126.75,-0.0009853086345607326
-13.75,127.0,-0.0026231897728783743
-13.75,127.25,-0.007778073703160598
-13.75,127.5,-0.010566330767635789
-13.75,129.5,-0.012330226672791121
-13.75,129.75,-0.013421328932357332
-13.75,130.0,-0.02449921356248004
-13.75,130.25,-0.028558386103638138
-13.75,130.5,-0.029559796893279002
-13.75,130.75,-0.030882927188317158
-13.75,131.0,-0.02876403061673045
-13.75,131.25,-0.0246393677215868
-13.75,131.5,-0.020249809751320364
-13.75,131.75,-0.008578768629758132
-13.75,132.0,-0.003991338065160172
-13.75,132.25,-0.0024131784460526737
-13.75,132.5,-0.0022986684327146838
-13.75,132.75,0.006006585012766577
-13.75,133.0,0.009403202968782613
-13.75,133.25,0.01370848671497134
-13.75,133.5,0.025090193648135202
-13.75,133.75,0.033253764437644606
-13.75,134.0,0.03912746939098551
-13.75,134.25,0.039447639857064044
-13.75,134.5,0.03967295726982965
-13.75,134.75,0.0237227122609814
-13.75,135.0,0.005749157985701458
-13.75,135.25,-0.003446277497208766
-13.75,135.5,-0.016206584332255823
-13.75,135.75,-0.03176138162671123
-13.75,136.0,-0.046269667171873155
-13.75,141.25,0.021892659037950492
-13.75,141.5,0.04409306299473558
-13.75,141.75,0.05632057295047811
-13.75,142.0,0.048770124316659
-13.75,142.25,0.05214382213362981
-13.75,142.5,0.05078844817222229
-13.75,142.75,0.05160194273062405
-13.75,143.0,0.049878338418368785
-13.75,143.25,0.05165923507052607
-13.75,143.5,0.04384925851953172
-13.75,143.75,0.024902636567241558
-14.0,126.25,-0.009174791285269228
-14.0,126.5,-0.0038300045322449436
-14.0,126.75,-0.004408667441679254
-14.0,127.0,-0.007958721932733342
-14.0,127.25,-0.006105348529915015
-14.0,127.5,-0.008311222569041309
-14.0,127.75,-0.009283492725253814
-14.0,129.5,-0.013406346807078947
-14.0,129.75,-0.015806659027778853
-14.0,130.0,-0.02607527095048378
-14.0,130.25,-0.02978244652705533
-14.0,130.5,-0.03251375224097588
-14.0,130.75,-0.029648167621261174
-14.0,131.0,-0.020031181424357263
-14.0,131.25,-0.018672150517592117
-14.0,131.5,-0.006558963983497095
-14.0,131.75,0.005185909608068566
-14.0,132.0,0.011941374097729014
-14.0,132.25,0.014539505057923851
-14.0,132.5,0.018277939797068637
-14.0,132.75,0.027167453435027883
-14.0,133.0,0.024786726530666263
-14.0,133.25,0.03063091694625438
-14.0,133.5,0.04130037797703629
-14.0,133.75,0.04961792064631092
-14.0,134.0,0.051198892885198195
-14.0,134.25,0.05282331646802569
-14.0,134.5,0.0430118410071979
-14.0,134.75,0.02786931439661116
-14.0,135.0,0.0031097842282092427
-14.0,135.25,-0.004170785327663734
-14.0,135.5,-0.01666524206022067
-14.0,135.75,-0.03775681850273118
-14.0,136.0,-0.0482798360598584
-14.0,136.25,-0.04877938045621184
-14.0,141.25,0.01098013917244749
-14.0,141.5,0.03250290466516855
-14.0,141.75,0.05490396262972527
-14.0,142.0,0.05083539115619801
-14.0,142.25,0.051072598132304844
-14.0,142.5,0.05193708874728708
-14.0,142.75,0.05102996978287896
-14.0,143.0,0.05435366451828962
-14.0,143.25,0.057519143509368105
-14.0,143.5,0.054353160810257706
-14.0,143.75,0.03520393180882647
-14.0,144.0,0.022310668929518822
-14.0,144.25,0.01814454953141865
-14.0,144.5,0.01475798261304763
-14.25,125.5,-0.024206823174886052
-14.25,125.75,-0.02269833520598089
-14.25,126.0,-0.018231698890615787
-14.25,126.25,-0.018595520547768543
-14.25,126.5,-0.017156968638855255
-14.25,126.75,-0.020454121230258828
-14.25,127.0,-0.018291291231954738
-14.25,127.25,-0.012082738702052407
-14.25,127.5,-0.0030101099032132576
-14.25,127.75,-0.004716313592091735
-14.25,128.0,-0.008836903764555851
-14.25,129.25,-0.014854369527061604
-14.25,129.5,-0.017752321586123714
-14.25,129.75,-0.026211686941262868
-14.25,130.0,-0.03309845724032216
-14.25,130.25,-0.0348733051175562
-14.25,130.5,-0.03141249419256512
-14.25,130.75,-0.024079707968935726
-14.25,131.0,-0.021767774849736486
-14.25,131.25,-0.016519557187954583
-14.25,131.5,-0.007942650586898838
-14.25,131.75,0.006691332469649968
-14.25,132.0,0.02022653648718482
-14.25,132.25,0.028847758561771894
-14.25,132.5,0.03494035038830978
-14.25,132.75,0.039404564393529046
-14.25,133.0,0.03924271249644724
-14.25,133.25,0.04765803995542228
-14.25,133.5,0.05670509340596341
-14.25,133.75,0.05986187952082782
-14.25,134.0,0.06255198199124563
-14.25,134.25,0.05391147431163561
-14.25,134.5,0.041070349357046544
-14.25,134.75,0.02648616252644431
-14.25,135.0,0.0028597757364401503
-14.25,135.25,-0.005321665251228426
-14.25,135.5,-0.025003985805060004
-14.25,135.75,-0.042127091612755546
-14.25,136.0,-0.04768085286376022
-14.25,141.25,0.0018840505845478868
-14.25,141.5,0.02228983908928404
-14.25,141.75,0.05000473595046926
-14.25,142.0,0.050925201168727306
-14.25,142.25,0.05317914766568546
-14.25,142.5,0.05153568032463746
-14.25,142.75,0.050816171722752705
-14.25,143.0,0.053663453233561344
-14.25,143.25,0.05803140843553203
-14.25,143.5,0.05541678764192121
-14.25,143.75,0.04066246810280496
-14.25,144.0,0.024451700101850465
-14.25,144.25,0.01922649507011686
-14.25,144.5,0.01445031541931842
-14.25,144.75,0.008650407223917899
-14.5,125.25,-0.022893953264602238
-14.5,125.5,-0.02444774823241113
-14.5,125.75,-0.02669878027047075
-14.5,126.0,-0.028356049265269013
-14.5,126.25,-0.031522698123894986
-14.5,126.5,-0.027474739768409303
-14.5,126.75,-0.027238057405200033
-14.5,127.0,-0.02280007815431981
-14.5,127.25,-0.012020882931149874
-14.5,127.5,0.0031319568255206657
-14.5,127.75,0.005184663725750787
-14.5,128.0,-0.004437526496171597
-14.5,128.25,-0.006919622239435003
-14.5,129.5,-0.02120754088696447
-14.5,129.75,-0.02888935080152892
-14.5,130.0,-0.03387989485691789
-14.5,130.25,-0.0338580911391459
-14.5,130.5,-0.02154473125424591
-14.5,130.75,-0.01747133638543476
-14.5,131.0,-0.016752894748545563
-14.5,131.25,-0.019761039393155704
-14.5,131.5,-0.01393821875431708
-14.5,131.75,0.0007466098304749245
-14.5,132.0,0.017825357811081976
-14.5,132.25,0.030462980035337664
-14.5,132.5,0.039067187998443845
-14.5,132.75,0.043184143989457795
-14.5,133.0,0.04965785233237382
-14.5,133.25,0.05574631882121875
-14.5,133.5,0.0585523191484667
-14.5,133.75,0.06202071689601455
-14.5,134.0,0.060338698979467156
-14.5,134.25,0.05351097523456528
-14.5,134.5,0.04408975955115498
-14.5,134.75,0.0320643896716536
-14.5,135.0,0.007842794057796709
-14.5,135.25,-0.011882123733604593
-14.5,135.5,-0.0302852867725527
-14.5,135.75,-0.040960092483631645
-14.5,141.25,-0.0015801756265794947
-14.5,141.5,0.01309221698237317
-14.5,141.75,0.04299788487232512
-14.5,142.0,0.04960229278963414
-14.5,142.25,0.05057022920144456
-14.5,142.5,0.053311623061364076
-14.5,142.75,0.05325554734362023
-14.5,143.0,0.05821078250231776
-14.5,143.25,0.06264202753525405
-14.5,143.5,0.05793563676554532
-14.5,143.75,0.045404734276235106
-14.5,144.0,0.02475334897504321
-14.5,144.25,0.013488737651191298
-14.5,144.5,0.011915584951860918
-14.5,144.75,0.006460189005537402
-14.5,145.0,0.0010194591623509215
-14.75,125.0,-0.023509373149967618
-14.75,125.25,-0.026810089626745876
-14.75,125.5,-0.03419491602994856
-14.75,125.75,-0.03684015117053475
-14.75,126.0,-0.03587573443628138
-14.75,126.25,-0.02769554788246751
-14.75,126.5,-0.01689901460305832
-14.75,126.75,-0.016920845775998065
-14.75,127.0,-0.014938160992183145
-14.75,127.25,-0.004137724188954702
-14.75,127.5,0.009864596443228601
-14.75,127.75,0.012341183015987987
-14.75,128.0,0.007757399417459965
-14.75,128.25,0.005362063761623133
-14.75,128.5,-0.00668291054898873
-14.75,128.75,-0.011917162463179833
-14.75,129.0,-0.015059711217708398
-14.75,129.25,-0.019608644748084426
-14.75,129.5,-0.02503064045006232
-14.75,129.75,-0.031407402432662254
-14.75,130.0,-0.03739386557634654
-14.75,130.25,-0.03005865836028187
-14.75,130.5,-0.010722371410866755
-14.75,130.75,-0.011751006973818654
-14.75,131.0,-0.016373492394840077
-14.75,131.25,-0.0214106046411741
-14.75,131.5,-0.022873376892641233
-14.75,131.75,-0.012385071871713513
-14.75,132.0,0.003883436406474738
-14.75,132.25,0.0166389481674525
-14.75,132.5,0.028498911704601986
-14.75,132.75,0.039150092264823064
-14.75,133.0,0.04660898710911473
-14.75,133.25,0.049200182190785806
-14.75,133.5,0.051228970026464336
-14.75,133.75,0.05211773771526558
-14.75,134.0,0.04878103318402455
-14.75,134.25,0.04534253064276916
-14.75,134.5,0.040708155576361434
-14.75,134.75,0.028690969258812923
-14.75,135.0,0.00859803968009406
-14.75,135.25,-0.01901490210245053
-14.75,135.5,-0.036203406849277336
-14.75,135.75,-0.04065908133495776
-14.75,141.25,-0.0023698563172642718
-14.75,141.5,0.011866929670352312
-14.75,141.75,0.0422091972637212
-14.75,142.0,0.04780166960166146
-14.75,142.25,0.049160155019490046
-14.75,142.5,0.05487512665845099
-14.75,142.75,0.05705895309358658
-14.75,143.0,0.06369575745581339
-14.75,143.25,0.07191194647790065
-14.75,143.5,0.06742373664996454
-14.75,143.75,0.04745463441525187
-14.75,144.0,0.02196949972061529
-14.75,144.25,0.00826676716651058
-14.75,144.5,0.004632831882363895
-14.75,144.75,0.004322780387952835
-14.75,145.0,-0.0029234985432898004
-14.75,145.25,-0.005847761309927418
-15.0,125.0,-0.02347060620252575
-15.0,125.25,-0.033823132139375614
-15.0,125.5,-0.04323568644800357
