Latitude,Longitude,normalized_km,normalized_corr,normalized_wind_capacity_factor,min_distance_to_line_km
-10.75,142.5,0.155021216407355,0.8857722275151815,0.8483591635290064,597.4
-11.0,142.25,0.1669024045261669,0.8782574131979479,0.4924753453473589,589.0
-11.0,142.5,0.1879773691654879,0.8889239751452566,0.5624490446293191,574.1
-11.25,131.25,0.8205091937765205,0.9634404333664476,0.22155002152284842,126.9
-11.25,142.25,0.1985855728429986,0.8918622404600225,0.35407207847362154,566.6
-11.25,142.5,0.22050919377652045,0.8934276384009514,0.3675292620659347,551.1
-11.25,142.75,0.24101838755304095,0.903685048382016,0.6484535823966421,536.6
-11.5,130.25,0.847949080622348,0.9802598484160806,0.12661868255063272,107.5
-11.5,130.5,0.8585572842998586,0.9808538276460156,0.09639655081151112,100.0
-11.5,130.75,0.8652050919377652,0.9761261090950107,0.11008296074194988,95.3
-11.5,131.0,0.8664780763790665,0.9664133676422452,0.11161787335058503,94.4
-11.5,131.25,0.8564356435643564,0.9752038799395337,0.12808542553109428,101.5
-11.5,132.5,0.7514851485148515,0.9505344077167746,0.22397646122208834,175.7
-11.5,132.75,0.7258840169731259,0.9452370478544186,0.28904823623642456,193.8
-11.5,133.0,0.698019801980198,0.9490218842534669,0.3656389151821643,213.5
-11.5,142.25,0.22956152758132953,0.892710890397131,0.31543115238090624,544.7
-11.5,142.5,0.2524752475247525,0.8963453735972193,0.3255648409579011,528.5
-11.5,142.75,0.2738330975954739,0.9093671090124499,0.5842063671934844,513.4
-11.75,130.25,0.8823196605374823,0.9964495909886504,0.11836524177262166,83.2
-11.75,130.5,0.8963224893917964,0.994856079809546,0.1019261043487017,73.3
-11.75,130.75,0.9026874115983027,0.9793912766989723,0.11471772505198796,68.8
-11.75,131.0,0.9043847241867043,0.9720866282920634,0.13137798182449048,67.6
-11.75,132.75,0.752899575671853,0.9374865237479336,0.1641142247943001,174.7
-11.75,133.0,0.7234794908062234,0.9364054000266655,0.16870311933845442,195.5
-11.75,133.25,0.6925035360678925,0.9494072198677596,0.2980763603050576,217.4
-11.75,142.25,0.2601131541725601,0.8974413873065552,0.2769473858409432,523.1
-11.75,142.5,0.2837340876944837,0.8969820670988837,0.3060463691242051,506.4
-11.75,142.75,0.30608203677510604,0.9086024482320801,0.534853174570262,490.6
-12.0,132.75,0.7782178217821782,0.9305015083699509,0.13241309772193238,156.8
-12.0,133.0,0.7465346534653465,0.9247653492797375,0.11881775039769298,179.2
-12.0,133.25,0.7131541725601132,0.946416913237944,0.14929473494287945,202.8
-12.0,133.5,0.6783592644978784,0.9674818771880923,0.17029856843361788,227.4
-12.0,133.75,0.6427157001414427,0.978387718223108,0.1991639640440218,252.6
-12.0,134.0,0.6063649222065064,0.9776141069925715,0.2968193256421716,278.3
-12.0,135.75,0.43097595473833095,0.99253835591991,0.46599630577219164,402.3
-12.0,136.5,0.34186704384724187,0.959943033285562,0.39847781552612016,465.3
-12.0,142.0,0.263932107496464,0.892902065100336,0.2656267727491982,520.4
-12.0,142.25,0.2898161244695898,0.8947142045760051,0.2614405844490256,502.1
-12.0,142.5,0.31442715700141444,0.8953763841325558,0.2653627395430464,484.7
-12.0,142.75,0.33776520509193775,0.9044516266404317,0.3600325692744432,468.2
-12.0,143.0,0.3596888260254597,0.9226240873459232,0.6322007123249072,452.7
-12.25,131.25,0.947949080622348,0.9546911786036706,0.17123080776196767,36.8
-12.25,132.25,0.8625176803394625,0.9215534825015779,0.20949454125771239,97.2
-12.25,132.5,0.8328147100424328,0.9297745594465888,0.12783531765091702,118.2
-12.25,132.75,0.8002828854314004,0.9316122941527157,0.09802006653011446,141.2
-12.25,133.0,0.7656294200848657,0.9318815937190825,0.11727439233673066,165.7
-12.25,133.25,0.7298444130127298,0.9607721193782148,0.13371709167852142,191.0
-12.25,133.5,0.6932107496463932,0.9837189203766527,0.1557718102089859,216.9
-12.25,133.75,0.6561527581329561,0.9999159014184557,0.16198150632256056,243.1
-12.25,134.0,0.6185289957567186,0.9897918865737522,0.15658450770544535,269.7
