Latitude,Longitude,Mean Distance
-10.75,142.25,32.488462568190386
-10.75,142.5,33.3513551162337
-11.0,130.5,27.90576175532365
-11.0,131.25,28.52388873899117
-11.0,142.0,30.70253753332118
-11.0,142.25,31.92847916383691
-11.0,142.5,33.48869808668401
-11.0,142.75,34.77117356124892
-11.25,130.25,26.51717622651059
-11.25,130.5,26.815243214194517
-11.25,130.75,26.99131756313394
-11.25,131.0,27.17218492670676
-11.25,131.25,27.913356438321628
-11.25,131.5,28.757912443335275
-11.25,132.75,32.81233326282734
-11.25,133.0,33.15729202517891
-11.25,141.75,30.49213356319721
-11.25,142.0,30.345691893070914
-11.25,142.25,31.659717666560695
-11.25,142.5,33.72837722757562
-11.25,142.75,35.52417229892815
-11.25,143.0,35.25627014922476
-11.5,130.0,26.049438577920615
-11.5,130.25,26.134846910036263
-11.5,130.5,26.779613167456283
-11.5,130.75,27.06592077973444
-11.5,131.0,27.596376533010652
-11.5,131.25,28.701632250228933
-11.5,131.5,28.69263563877878
-11.5,131.75,28.477978429080665
-11.5,132.5,29.916121214099373
-11.5,132.75,32.12562766057371
-11.5,133.0,33.027151320829475
-11.5,133.25,33.59576080921583
-11.5,133.5,33.75283298856887
-11.5,133.75,33.599518519523606
-11.5,141.75,30.60956813685652
-11.5,142.0,30.767303659396344
-11.5,142.25,32.17322248452476
-11.5,142.5,34.08532762489405
-11.5,142.75,35.434332043324304
-11.5,143.0,35.40049046895259
-11.75,130.25,26.30664383499435
-11.75,130.5,26.989354691990517
-11.75,130.75,27.079298009846266
-11.75,131.0,27.46509305883018
-11.75,131.25,27.937841247540526
-11.75,131.5,27.979355026798842
-11.75,132.25,28.054694000203042
-11.75,132.5,27.76870736531956
-11.75,132.75,30.31219099776369
-11.75,133.0,33.04672705775904
-11.75,133.25,33.69189282864377
-11.75,133.5,33.8775241184796
-11.75,133.75,33.54642987245183
-11.75,134.0,33.3388506123065
-11.75,134.25,33.542883638203996
-11.75,134.5,33.30741314501612
-11.75,134.75,33.23248504378119
-11.75,135.5,32.8988506642533
-11.75,141.75,30.51855696244855
-11.75,142.0,31.475038285114124
-11.75,142.25,33.00400857873286
-11.75,142.5,33.665220539738364
-11.75,142.75,35.028565631649336
-11.75,143.0,35.60407239595144
-12.0,130.5,26.502303854699598
-12.0,131.0,26.461833334608997
-12.0,131.25,26.75019361782124
-12.0,131.5,26.855872137669575
-12.0,131.75,27.07045798528418
-12.0,132.0,27.21615713944081
-12.0,132.25,27.10126973653693
-12.0,132.5,27.190180574405527
-12.0,132.75,29.61562506753201
-12.0,133.0,32.658789608417074
-12.0,133.25,34.445181166980326
-12.0,133.5,35.18961505782776
-12.0,133.75,34.82351370451273
-12.0,134.0,33.94195176938684
-12.0,134.25,33.29202064789599
-12.0,134.5,32.538628578901914
-12.0,134.75,32.1695570813064
-12.0,135.0,32.12356912392171
-12.0,135.25,31.72954134057922
-12.0,135.5,31.652548359481717
-12.0,135.75,31.62589095949044
-12.0,136.0,30.89773589576182
-12.0,136.25,29.81450152294402
-12.0,136.5,29.461088707252433
-12.0,141.75,30.133815051176207
-12.0,142.0,31.61004448699458
-12.0,142.25,32.89713029298752
-12.0,142.5,33.368053353286996
-12.0,142.75,34.38809306814674
-12.0,143.0,35.63406157930971
-12.0,143.25,35.51924277305299
-12.25,130.5,26.276891111913358
-12.25,130.75,26.146562986614818
-12.25,131.0,26.276103992839328
-12.25,131.25,26.356787578617585
-12.25,131.5,26.36859346560248
-12.25,131.75,26.47125167044209
-12.25,132.0,26.61369984554904
-12.25,132.25,26.859831802183464
-12.25,132.5,28.11286660173873
-12.25,132.75,30.95704480264121
-12.25,133.0,33.471676921540144
-12.25,133.25,35.34211487615019
-12.25,133.5,35.551678563223845
-12.25,133.75,35.190083693054866
-12.25,134.0,34.799307095920696
-12.25,134.25,34.8126159181436
-12.25,134.5,35.003095225899195
-12.25,134.75,34.56837277090273
-12.25,135.0,33.90590393254894
-12.25,135.25,33.491597925612076
-12.25,135.5,33.559726892160754
-12.25,135.75,32.09844556783719
-12.25,136.0,30.456226724623278
-12.25,136.25,29.543504552625805
-12.25,136.5,29.743073300888582
-12.25,136.75,31.4245009146094
