Latitude,Longitude,normalized_km,normalized_corr
-10.75,142.25,0.13465346534653477,0.719198315715891
-10.75,142.5,0.155021216407355,0.7290373276372026
-11.0,130.5,0.7826025459688826,0.8064595767623625
-11.0,131.25,0.7837340876944837,0.798405411066487
-11.0,142.0,0.14455445544554457,0.7201495516023084
-11.0,142.25,0.1669024045261669,0.7228522385394167
-11.0,142.5,0.1879773691654879,0.7316313824046033
-11.0,142.75,0.20777934936350773,0.7389162541410468
-11.25,130.25,0.8121640735502121,0.8071931766800481
-11.25,130.5,0.8206506364922206,0.7998391416989525
-11.25,130.75,0.8274398868458275,0.7936409643743144
-11.25,131.0,0.8284299858557285,0.7897052638468001
-11.25,131.25,0.8205091937765205,0.7929623633035673
-11.25,131.5,0.804950495049505,0.8020056282254497
-11.25,132.75,0.697029702970297,0.7847639891312456
-11.25,133.0,0.671004243281471,0.7829923674056813
-11.25,141.75,0.15106082036775104,0.723592641250272
-11.25,142.0,0.17538896746817534,0.728893828669871
-11.25,142.25,0.1985855728429986,0.734049729950874
-11.25,142.5,0.22050919377652045,0.735338135136872
-11.25,142.75,0.24101838755304095,0.7437805253234014
-11.25,143.0,0.2601131541725601,0.7465756173575857
-11.5,130.0,0.8288543140028288,0.8169385449281932
-11.5,130.25,0.847949080622348,0.8068056302511024
-11.5,130.5,0.8585572842998586,0.8072945065299156
-11.5,130.75,0.8652050919377652,0.8034033444555364
-11.5,131.0,0.8664780763790665,0.7954092452358994
-11.5,131.25,0.8564356435643564,0.8026443011506181
-11.5,131.5,0.8374823196605374,0.8014794964367684
-11.5,131.75,0.8142857142857143,0.8042957719145314
-11.5,132.5,0.7514851485148515,0.7823400225281634
-11.5,132.75,0.7258840169731259,0.7779800155674368
-11.5,133.0,0.698019801980198,0.7810951358299524
-11.5,133.25,0.6687411598302688,0.7825798804040794
-11.5,133.5,0.6380480905233381,0.7845621737884624
-11.5,133.75,0.6059405940594059,0.7876563284780449
-11.5,141.75,0.18048090523338056,0.7284243698159921
-11.5,142.0,0.2056577086280056,0.7340540181145863
-11.5,142.25,0.22956152758132953,0.734748213672795
-11.5,142.5,0.2524752475247525,0.7377395853112665
-11.5,142.75,0.2738330975954739,0.7484571613352402
-11.5,143.0,0.2937765205091938,0.7536154698322913
-11.75,130.25,0.8823196605374823,0.8201306434922047
-11.75,130.5,0.8963224893917964,0.8188190996263136
-11.75,130.75,0.9026874115983027,0.8060907498520202
-11.75,131.0,0.9043847241867043,0.8000786383988973
-11.75,131.25,0.890947666195191,0.789622844658105
-11.75,131.5,0.8671852899575672,0.7900810755308905
-11.75,132.25,0.8055162659123055,0.7933632146653754
-11.75,132.5,0.7807637906647807,0.7828544942956375
-11.75,132.75,0.752899575671853,0.7716009248634638
-11.75,133.0,0.7234794908062234,0.7707111029384643
-11.75,133.25,0.6925035360678925,0.7814122873930303
-11.75,133.5,0.6596888260254596,0.7882347873236797
-11.75,133.75,0.6257425742574256,0.7913818018605576
-11.75,134.0,0.5908062234794909,0.7932791765629442
-11.75,134.25,0.5553041018387553,0.7966101210587434
-11.75,134.5,0.5190947666195191,0.7990453799310183
-11.75,134.75,0.4977369165487977,0.8018725035286578
-11.75,135.5,0.4295615275813296,0.8181933057011356
-11.75,141.75,0.20905233380480903,0.7252438882729227
-11.75,142.0,0.2350777934936351,0.7368967365629172
-11.75,142.25,0.2601131541725601,0.7386416624828995
-11.75,142.5,0.2837340876944837,0.7382636176917798
-11.75,142.75,0.30608203677510604,0.7478278051254236
-11.75,143.0,0.327015558698727,0.7606932217444443
-12.0,130.5,0.9336633663366336,0.827166266281238
-12.0,131.0,0.9418670438472418,0.7965121552245682
-12.0,131.25,0.922065063649222,0.7857895539033465
-12.0,131.5,0.9,0.7701010945352608
-12.0,131.75,0.8807637906647807,0.7678578100103783
-12.0,132.0,0.8592644978783592,0.7689109568518901
-12.0,132.25,0.8356435643564356,0.7742939793724971
-12.0,132.5,0.8077793493635077,0.774705540218434
-12.0,132.75,0.7782178217821782,0.7658518882754071
-12.0,133.0,0.7465346534653465,0.7611307263738172
-12.0,133.25,0.7131541725601132,0.7789511070957746
-12.0,133.5,0.6783592644978784,0.7962886850282764
-12.0,133.75,0.6427157001414427,0.805264768220801
-12.0,134.0,0.6063649222065064,0.8046280453177554
